PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
MN,2700001,Northwest Minnesota nonmetropolitan area,13-1141,"Compensation, Benefits, and Job Analysis Specialists",detailed,90,34.6,0.476,0.82,29.61,"61,600",11.7,16.80,19.83,27.08,35.97,48.85,"34,940","41,240","56,330","74,820","101,600",,
MN,2700001,Northwest Minnesota nonmetropolitan area,13-1151,Training and Development Specialists,detailed,260,12.5,1.359,0.68,27.22,"56,620",4.3,15.30,19.61,26.99,34.96,39.60,"31,820","40,790","56,150","72,710","82,360",,
MN,2700001,Northwest Minnesota nonmetropolitan area,13-1161,Market Research Analysts and Marketing Specialists,detailed,560,26.3,2.929,0.66,27.59,"57,390",1.7,17.64,21.07,26.00,34.34,39.34,"36,680","43,820","54,070","71,430","81,830",,
MN,2700001,Northwest Minnesota nonmetropolitan area,13-1199,"Business Operations Specialists, All Other",detailed,810,13.2,4.229,0.58,25.69,"53,440",2.8,14.95,18.63,24.53,30.81,38.10,"31,100","38,740","51,020","64,090","79,240",,
MN,2700001,Northwest Minnesota nonmetropolitan area,13-2011,Accountants and Auditors,detailed,960,9.9,4.998,0.57,28.48,"59,250",1.6,19.36,22.67,27.49,33.44,39.79,"40,260","47,150","57,180","69,550","82,760",,
MN,2700001,Northwest Minnesota nonmetropolitan area,13-2021,Appraisers and Assessors of Real Estate,detailed,160,12.4,0.852,2.13,27.64,"57,480",2.4,18.43,22.36,27.86,32.69,37.23,"38,340","46,510","57,950","67,990","77,450",,
MN,2700001,Northwest Minnesota nonmetropolitan area,13-2041,Credit Analysts,detailed,90,32.9,0.475,0.92,31.22,"64,940",6.7,20.05,24.47,30.79,37.75,44.47,"41,710","50,890","64,040","78,530","92,500",,
MN,2700001,Northwest Minnesota nonmetropolitan area,13-2051,Financial Analysts,detailed,120,43.4,0.623,0.29,27.68,"57,580",3.3,19.14,22.04,26.58,33.91,38.23,"39,820","45,840","55,280","70,520","79,510",,
MN,2700001,Northwest Minnesota nonmetropolitan area,13-2052,Personal Financial Advisors,detailed,70,27.4,0.361,0.26,30.51,"63,460",16.6,12.23,14.51,24.45,44.56,51.29,"25,430","30,170","50,850","92,680","106,690",,
MN,2700001,Northwest Minnesota nonmetropolitan area,13-2061,Financial Examiners,detailed,**,**,**,**,37.33,"77,640",13.1,26.16,28.23,31.18,40.03,62.81,"54,420","58,710","64,850","83,250","130,650",,
MN,2700001,Northwest Minnesota nonmetropolitan area,13-2072,Loan Officers,detailed,580,9.3,3.022,1.43,33.16,"68,980",4.5,20.23,23.13,30.21,42.39,49.39,"42,070","48,120","62,830","88,160","102,730",,
MN,2700001,Northwest Minnesota nonmetropolitan area,13-2082,Tax Preparers,detailed,80,42.1,0.404,0.86,20.32,"42,270",6.7,14.18,16.74,19.71,24.07,28.23,"29,490","34,820","40,990","50,060","58,720",,
MN,2700001,Northwest Minnesota nonmetropolitan area,13-2099,"Financial Specialists, All Other",detailed,110,24.3,0.573,0.64,25.06,"52,130",4.8,14.40,19.44,23.72,29.89,38.26,"29,950","40,440","49,330","62,170","79,590",,
MN,2700001,Northwest Minnesota nonmetropolitan area,15-0000,Computer and Mathematical Occupations,major,"2,510",27.1,13.134,0.43,32.41,"67,420",1.9,18.44,23.33,30.95,39.14,48.39,"38,360","48,520","64,380","81,420","100,660",,
MN,2700001,Northwest Minnesota nonmetropolitan area,15-1121,Computer Systems Analysts,detailed,460,40.3,2.396,0.59,32.39,"67,370",2.4,21.72,26.48,32.36,37.66,44.17,"45,170","55,080","67,310","78,330","91,870",,
MN,2700001,Northwest Minnesota nonmetropolitan area,15-1131,Computer Programmers,detailed,100,13.7,0.503,0.32,37.53,"78,060",4.0,25.49,29.50,37.26,45.58,51.32,"53,010","61,370","77,500","94,800","106,750",,
MN,2700001,Northwest Minnesota nonmetropolitan area,15-1132,"Software Developers, Applications",detailed,230,28.1,1.220,0.20,40.65,"84,560",2.8,24.83,33.10,39.25,47.88,58.84,"51,650","68,840","81,640","99,590","122,390",,
MN,2700001,Northwest Minnesota nonmetropolitan area,15-1133,"Software Developers, Systems Software",detailed,110,42.6,0.574,0.20,44.95,"93,500",2.5,32.40,37.47,44.08,49.94,59.26,"67,390","77,930","91,680","103,880","123,260",,
MN,2700001,Northwest Minnesota nonmetropolitan area,15-1134,Web Developers,detailed,40,23.9,0.215,0.24,32.45,"67,490",5.0,18.36,22.91,30.45,43.29,48.31,"38,200","47,650","63,330","90,050","100,480",,
MN,2700001,Northwest Minnesota nonmetropolitan area,15-1141,Database Administrators,detailed,80,39.7,0.436,0.57,34.35,"71,450",3.5,24.14,27.58,32.86,39.92,48.21,"50,210","57,370","68,340","83,040","100,270",,
MN,2700001,Northwest Minnesota nonmetropolitan area,15-1142,Network and Computer Systems Administrators,detailed,310,15.3,1.627,0.64,33.58,"69,840",2.0,22.87,26.83,32.73,39.23,46.75,"47,580","55,810","68,080","81,590","97,250",,
MN,2700001,Northwest Minnesota nonmetropolitan area,15-1151,Computer User Support Specialists,detailed,680,32.4,3.566,0.82,22.21,"46,200",3.0,15.61,17.66,21.37,25.91,30.29,"32,470","36,740","44,450","53,880","63,000",,
MN,2700001,Northwest Minnesota nonmetropolitan area,15-1152,Computer Network Support Specialists,detailed,150,21.8,0.783,0.62,31.01,"64,510",6.3,19.22,22.26,28.53,36.76,52.77,"39,980","46,310","59,350","76,460","109,760",,
MN,2700001,Northwest Minnesota nonmetropolitan area,15-1199,"Computer Occupations, All Other",detailed,140,11.7,0.741,0.28,33.13,"68,900",2.4,21.76,27.27,33.82,39.13,44.69,"45,250","56,720","70,340","81,390","92,950",,
MN,2700001,Northwest Minnesota nonmetropolitan area,15-2031,Operations Research Analysts,detailed,**,**,**,**,39.08,"81,280",3.1,32.34,34.57,38.29,44.13,48.91,"67,270","71,910","79,630","91,780","101,730",,
MN,2700001,Northwest Minnesota nonmetropolitan area,17-0000,Architecture and Engineering Occupations,major,"2,680",6.0,14.017,0.79,31.89,"66,330",2.0,19.00,23.26,30.06,38.21,47.92,"39,520","48,390","62,520","79,480","99,670",,
MN,2700001,Northwest Minnesota nonmetropolitan area,17-1011,"Architects, Except Landscape and Naval",detailed,40,26.2,0.188,0.26,40.47,"84,190",9.2,21.88,26.73,41.87,53.23,61.22,"45,510","55,600","87,090","110,720","127,350",,
MN,2700001,Northwest Minnesota nonmetropolitan area,17-1022,Surveyors,detailed,**,**,**,**,25.23,"52,470",9.1,15.98,17.81,21.74,31.68,42.66,"33,240","37,040","45,210","65,900","88,720",,
MN,2700001,Northwest Minnesota nonmetropolitan area,17-2051,Civil Engineers,detailed,180,12.8,0.920,0.43,38.99,"81,100",2.5,24.01,29.12,40.30,47.91,53.37,"49,940","60,560","83,810","99,660","111,000",,
MN,2700001,Northwest Minnesota nonmetropolitan area,17-2071,Electrical Engineers,detailed,140,12.1,0.724,0.56,39.28,"81,690",2.9,28.31,33.23,38.01,45.54,54.05,"58,880","69,110","79,050","94,710","112,420",,
MN,2700001,Northwest Minnesota nonmetropolitan area,17-2072,"Electronics Engineers, Except Computer",detailed,40,18.3,0.223,0.24,28.96,"60,250",9.9,20.17,21.84,26.55,35.91,38.89,"41,960","45,430","55,230","74,690","80,900",,
MN,2700001,Northwest Minnesota nonmetropolitan area,17-2081,Environmental Engineers,detailed,50,36.6,0.279,0.76,32.80,"68,220",2.5,25.95,28.11,31.27,37.59,42.66,"53,970","58,480","65,040","78,190","88,720",,
MN,2700001,Northwest Minnesota nonmetropolitan area,17-2112,Industrial Engineers,detailed,350,4.3,1.837,0.95,38.17,"79,390",2.7,26.79,31.94,36.89,44.55,51.67,"55,710","66,440","76,720","92,670","107,470",,
MN,2700001,Northwest Minnesota nonmetropolitan area,17-2141,Mechanical Engineers,detailed,450,14.2,2.344,1.12,34.94,"72,680",2.4,22.06,27.13,34.05,41.62,49.67,"45,890","56,430","70,830","86,580","103,320",,
MN,2700001,Northwest Minnesota nonmetropolitan area,17-2199,"Engineers, All Other",detailed,50,49.2,0.261,0.27,43.47,"90,410",3.1,23.44,31.24,46.50,54.12,59.97,"48,760","64,990","96,720","112,560","124,740",,
MN,2700001,Northwest Minnesota nonmetropolitan area,17-3011,Architectural and Civil Drafters,detailed,130,36.2,0.675,1.00,23.89,"49,690",6.5,16.13,19.35,25.45,28.49,30.27,"33,540","40,260","52,940","59,250","62,960",,
MN,2700001,Northwest Minnesota nonmetropolitan area,17-3013,Mechanical Drafters,detailed,120,12.7,0.635,1.64,24.77,"51,530",2.2,16.97,20.09,24.14,29.09,33.01,"35,300","41,790","50,220","60,500","68,670",,
MN,2700001,Northwest Minnesota nonmetropolitan area,17-3019,"Drafters, All Other",detailed,30,40.3,0.161,1.60,24.16,"50,240",4.6,16.34,20.04,22.67,30.56,35.57,"33,990","41,680","47,150","63,560","73,990",,
MN,2700001,Northwest Minnesota nonmetropolitan area,17-3022,Civil Engineering Technicians,detailed,190,7.0,0.974,1.98,28.46,"59,200",1.4,22.23,26.54,30.10,30.13,33.42,"46,240","55,200","62,610","62,670","69,510",,
MN,2700001,Northwest Minnesota nonmetropolitan area,17-3023,Electrical and Electronics Engineering Technicians,detailed,120,9.7,0.623,0.71,24.38,"50,710",3.1,15.87,19.97,23.28,29.08,34.96,"33,000","41,540","48,420","60,480","72,710",,
MN,2700001,Northwest Minnesota nonmetropolitan area,17-3024,Electro-Mechanical Technicians,detailed,100,18.0,0.531,5.69,21.92,"45,590",4.0,16.17,18.22,21.53,25.00,29.16,"33,630","37,890","44,790","51,990","60,660",,
MN,2700001,Northwest Minnesota nonmetropolitan area,17-3025,Environmental Engineering Technicians,detailed,60,3.0,0.307,2.57,34.51,"71,780",1.8,28.69,31.64,36.85,39.80,39.81,"59,680","65,810","76,650","82,790","82,800",,
MN,2700001,Northwest Minnesota nonmetropolitan area,17-3026,Industrial Engineering Technicians,detailed,140,8.4,0.736,1.60,21.85,"45,440",2.6,15.96,18.26,21.62,24.82,29.09,"33,190","37,990","44,980","51,610","60,510",,
MN,2700001,Northwest Minnesota nonmetropolitan area,17-3029,"Engineering Technicians, Except Drafters, All Other",detailed,70,8.1,0.374,0.65,24.68,"51,330",3.3,16.66,20.20,23.74,29.20,34.76,"34,660","42,010","49,370","60,730","72,300",,
MN,2700001,Northwest Minnesota nonmetropolitan area,17-3031,Surveying and Mapping Technicians,detailed,70,24.1,0.391,1.08,29.97,"62,350",5.0,20.78,25.70,29.11,35.01,41.32,"43,210","53,450","60,540","72,810","85,940",,
MN,2700001,Northwest Minnesota nonmetropolitan area,19-0000,"Life, Physical, and Social Science Occupations",major,"1,340",6.7,7.018,0.87,29.65,"61,670",1.7,17.58,22.07,28.40,36.26,42.48,"36,570","45,900","59,070","75,420","88,350",,
MN,2700001,Northwest Minnesota nonmetropolitan area,19-1013,Soil and Plant Scientists,detailed,70,33.5,0.384,3.70,36.26,"75,420",4.2,20.52,26.73,34.96,45.03,56.68,"42,670","55,600","72,710","93,650","117,890",,
MN,2700001,Northwest Minnesota nonmetropolitan area,19-1023,Zoologists and Wildlife Biologists,detailed,150,3.7,0.790,6.40,30.45,"63,330",1.0,23.10,25.87,30.44,33.92,38.99,"48,040","53,810","63,320","70,550","81,110",,
MN,2700001,Northwest Minnesota nonmetropolitan area,19-1029,"Biological Scientists, All Other",detailed,60,0.0,0.294,1.00,29.89,"62,170",1.2,14.34,21.88,31.63,36.45,44.68,"29,830","45,500","65,790","75,820","92,940",,
MN,2700001,Northwest Minnesota nonmetropolitan area,19-1031,Conservation Scientists,detailed,70,6.4,0.346,2.26,32.52,"67,640",1.8,21.19,26.45,31.95,38.27,42.94,"44,090","55,020","66,460","79,590","89,310",,
MN,2700001,Northwest Minnesota nonmetropolitan area,19-1032,Foresters,detailed,70,13.7,0.387,6.67,30.73,"63,910",1.8,21.59,25.17,31.53,36.25,39.00,"44,910","52,360","65,590","75,410","81,120",,
MN,2700001,Northwest Minnesota nonmetropolitan area,19-1099,"Life Scientists, All Other",detailed,30,46.8,0.157,3.32,40.80,"84,850",4.3,23.20,33.92,37.70,42.11,82.25,"48,270","70,550","78,420","87,590","171,090",,
MN,2700001,Northwest Minnesota nonmetropolitan area,19-2041,"Environmental Scientists and Specialists, Including Health",detailed,140,18.1,0.727,1.31,30.44,"63,320",4.9,19.58,23.87,28.94,37.70,44.23,"40,730","49,640","60,190","78,420","91,990",,
MN,2700001,Northwest Minnesota nonmetropolitan area,19-2043,Hydrologists,detailed,40,22.9,0.214,4.93,35.86,"74,580",2.3,24.68,27.39,35.12,40.62,53.10,"51,340","56,970","73,060","84,500","110,460",,
MN,2700001,Northwest Minnesota nonmetropolitan area,19-3031,"Clinical, Counseling, and School Psychologists",detailed,150,16.1,0.795,1.04,33.37,"69,410",3.2,21.88,26.52,32.13,39.43,47.11,"45,510","55,160","66,830","82,020","97,980",,
MN,2700001,Northwest Minnesota nonmetropolitan area,19-3051,Urban and Regional Planners,detailed,60,21.2,0.339,1.30,32.46,"67,530",2.1,24.23,28.65,33.47,37.49,38.31,"50,400","59,590","69,620","77,970","79,690",,
MN,2700001,Northwest Minnesota nonmetropolitan area,19-4011,Agricultural and Food Science Technicians,detailed,90,35.6,0.480,3.26,20.00,"41,610",4.6,15.63,17.07,19.67,22.83,25.18,"32,510","35,500","40,910","47,480","52,380",,
MN,2700001,Northwest Minnesota nonmetropolitan area,19-4021,Biological Technicians,detailed,50,0.0,0.240,0.45,21.38,"44,460",1.5,16.05,16.06,21.51,26.28,27.33,"33,390","33,400","44,730","54,660","56,850",,
MN,2700001,Northwest Minnesota nonmetropolitan area,19-4091,"Environmental Science and Protection Technicians, Including Health",detailed,80,40.6,0.417,1.85,27.24,"56,660",24.1,16.37,17.89,23.54,38.76,44.87,"34,040","37,220","48,970","80,620","93,330",,
MN,2700001,Northwest Minnesota nonmetropolitan area,19-4093,Forest and Conservation Technicians,detailed,110,10.4,0.579,2.77,21.74,"45,210",1.1,14.75,16.59,21.51,26.28,27.90,"30,690","34,510","44,730","54,660","58,020",,
MN,2700001,Northwest Minnesota nonmetropolitan area,19-4099,"Life, Physical, and Social Science Technicians, All Other",detailed,50,2.5,0.241,0.53,20.11,"41,840",2.7,17.56,18.58,19.53,21.73,23.75,"36,520","38,660","40,620","45,210","49,410",,
MN,2700001,Northwest Minnesota nonmetropolitan area,21-0000,Community and Social Service Occupations,major,"4,190",7.2,21.906,1.46,22.16,"46,090",1.8,13.04,16.57,21.56,27.02,33.10,"27,130","34,480","44,840","56,200","68,860",,
MN,2700001,Northwest Minnesota nonmetropolitan area,21-1012,"Educational, Guidance, School, and Vocational Counselors",detailed,290,16.8,1.494,0.76,25.51,"53,050",4.0,16.52,20.12,23.87,31.13,37.36,"34,360","41,840","49,660","64,740","77,700",,
MN,2700001,Northwest Minnesota nonmetropolitan area,21-1013,Marriage and Family Therapists,detailed,**,**,**,**,21.66,"45,050",2.6,16.31,17.76,20.45,23.50,28.57,"33,920","36,940","42,530","48,880","59,420",,
MN,2700001,Northwest Minnesota nonmetropolitan area,21-1015,Rehabilitation Counselors,detailed,220,28.8,1.154,1.56,19.28,"40,090",11.0,11.19,12.96,17.50,24.27,30.44,"23,270","26,960","36,390","50,470","63,320",,
MN,2700001,Northwest Minnesota nonmetropolitan area,21-1018,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",detailed,580,22.7,3.043,1.64,23.29,"48,440",2.4,15.40,18.99,22.61,27.32,31.75,"32,040","39,500","47,020","56,820","66,050",,
MN,2700001,Northwest Minnesota nonmetropolitan area,21-1019,"Counselors, All Other",detailed,**,**,**,**,32.46,"67,520",4.3,15.14,27.26,33.42,39.04,46.04,"31,480","56,710","69,510","81,200","95,760",,
MN,2700001,Northwest Minnesota nonmetropolitan area,21-1021,"Child, Family, and School Social Workers",detailed,900,15.3,4.696,2.12,23.96,"49,840",3.1,15.68,18.77,23.73,28.85,34.12,"32,620","39,040","49,360","60,000","70,970",,
MN,2700001,Northwest Minnesota nonmetropolitan area,21-1022,Healthcare Social Workers,detailed,240,6.5,1.245,1.07,27.35,"56,880",1.6,20.49,23.16,27.02,30.71,36.12,"42,620","48,170","56,210","63,890","75,140",,
MN,2700001,Northwest Minnesota nonmetropolitan area,21-1023,Mental Health and Substance Abuse Social Workers,detailed,50,5.0,0.237,0.29,31.49,"65,510",1.4,23.31,26.47,32.57,36.48,38.72,"48,490","55,050","67,740","75,880","80,540",,
MN,2700001,Northwest Minnesota nonmetropolitan area,21-1029,"Social Workers, All Other",detailed,110,11.8,0.554,1.40,28.38,"59,030",2.4,21.70,24.69,28.39,31.72,36.45,"45,140","51,350","59,060","65,980","75,820",,
MN,2700001,Northwest Minnesota nonmetropolitan area,21-1091,Health Educators,detailed,50,19.3,0.280,0.69,22.73,"47,280",9.6,15.52,17.22,20.94,25.03,31.36,"32,270","35,810","43,560","52,060","65,220",,
MN,2700001,Northwest Minnesota nonmetropolitan area,21-1092,Probation Officers and Correctional Treatment Specialists,detailed,40,12.3,0.184,0.30,28.76,"59,820",2.8,20.08,24.49,28.19,33.54,38.10,"41,760","50,940","58,640","69,760","79,250",,
MN,2700001,Northwest Minnesota nonmetropolitan area,21-1093,Social and Human Service Assistants,detailed,"1,140",9.4,5.966,2.20,17.57,"36,550",2.0,11.64,13.82,17.55,21.36,23.69,"24,210","28,750","36,510","44,430","49,270",,
MN,2700001,Northwest Minnesota nonmetropolitan area,21-1094,Community Health Workers,detailed,120,37.1,0.614,1.58,12.75,"26,510",6.6,10.26,11.17,12.35,13.95,15.05,"21,340","23,240","25,680","29,010","31,290",,
